categorycode,purchaseitem,isactive,itemcode,itemid,pdesc,meas1,eqnum,meas2,ucost,reorder,remarks,onhand,id
0001,1,1,,P00001,"15Kw 20Hp Hydraulic Pump Inverter, 3P 50Hz 60Hz 220V",pcs,1.00,pcs,0.00,0.00,,0,1
0001,1,1,,P00002,"30Kw 40Hp Electric Motor Inverter, 3P 50Hz 60Hz 220V",pcs,1.00,pcs,0.00,0.00,,0,2
0001,1,1,,P00003,"Air Cylinder, Double Acting, SC50X125",pcs,1.00,pcs,0.00,0.00,,0,3
0001,1,1,,P00004,"Air Filter Regulator, Saw100",pcs,1.00,pcs,0.00,0.00,,0,4
0001,1,1,,P00005,Allen Bolt 12X75,pcs,1.00,pcs,0.00,0.00,,0,5
0001,1,1,,P00006,Allen Bolt 16X75,pcs,1.00,pcs,0.00,0.00,,0,6
0001,1,1,,P00007,Allen Bolt 16X120,pcs,1.00,pcs,0.00,0.00,,0,7
0001,1,1,,P00008,Allen Bolt 60X80,pcs,1.00,pcs,0.00,0.00,,0,8
0001,1,1,,P00009,Allen Bolt 20X160,pcs,1.00,pcs,0.00,0.00,,0,9
0001,1,1,,P00010,Allen Bolt 30X90,pcs,1.00,pcs,0.00,0.00,,0,10
0001,1,1,,P00011,"Analog Pressure Switch, Liyou 0225MPA 380V",pcs,1.00,pcs,0.00,0.00,,0,11
0001,1,1,,P00012,Bearing NSK-6017,pcs,1.00,pcs,0.00,0.00,,0,12
0001,1,1,,P00013,Bearing SKF-6017,pcs,1.00,pcs,0.00,0.00,,0,13
0001,1,1,,P00014,Belt C125 Bando,pcs,1.00,pcs,0.00,0.00,,0,14
0001,1,1,,P00015,Belt C126,pcs,1.00,pcs,0.00,0.00,,0,15
0001,1,1,,P00016,"Bladder Accumulator, NS GB/T20663",pcs,1.00,pcs,0.00,0.00,,0,16
0001,1,1,,P00017,"Blower Fan, CZR-50Mm",pcs,1.00,pcs,0.00,0.00,,0,17
0001,1,1,,P00018,Buffer Ring 1155X100X6.3,pcs,1.00,pcs,0.00,0.00,,0,18
0001,1,1,,P00019,Circlip 24.2X0X1.2,pcs,1.00,pcs,0.00,0.00,,0,19
0001,1,1,,P00020,"Circuit Breaker, 175Amp, 3 Poles Bolt-On Type",pcs,1.00,pcs,0.00,0.00,,0,20
0001,1,1,,P00021,"Circuit Breaker, 175Amp, 3 Poles Plug-In Type",pcs,1.00,pcs,0.00,0.00,,0,21
0001,1,1,,P00022,"Digital Pressure Switch, MD-S9282-4",pcs,1.00,pcs,0.00,0.00,,0,22
0001,1,1,,P00023,"Electric Motor, Gear Box, 3Okw, 40Hp, 220V, 3P- 60Hz-1180Rpm",pcs,1.00,pcs,0.00,0.00,,0,23
0001,1,1,,P00024,"Electro Hydraulic Servo Valve, QDY6",pcs,1.00,pcs,0.00,0.00,,0,24
0001,1,1,,P00025,"Gate Valve, 1/2""",pcs,1.00,pcs,0.00,0.00,,0,25
0001,1,1,,P00026,Gefran Sensor Model:LT-M-02005-XL02020,pcs,1.00,pcs,0.00,0.00,,0,26
0001,1,1,,P00027,Gefran Sensor Model:PY-2-F-025-SO1M-Xl0202,pcs,1.00,pcs,0.00,0.00,,0,27
0001,1,1,,P00028,"Heater 150X85, 220V 1000W",pcs,1.00,pcs,0.00,0.00,,0,28
0001,1,1,,P00029,"Heater 235X90, 220V 1500W Mica",pcs,1.00,pcs,0.00,0.00,,0,29
0001,1,1,,P00030,"Heater 248X100, 220V 1800W",pcs,1.00,pcs,0.00,0.00,,0,30
0001,1,1,,P00031,"Heater 320X100, 220V 2000W Ceramic",pcs,1.00,pcs,0.00,0.00,,0,31
0001,1,1,,P00032,"Heater 320X165, 220V 3300W Ceramic",pcs,1.00,pcs,0.00,0.00,,0,32
0001,1,1,,P00033,"Heater 320X80,  220V 2000W Ceramic",pcs,1.00,pcs,0.00,0.00,,0,33
0001,1,1,,P00034,"Heater 338X75, 220V 1800W Mica",pcs,1.00,pcs,0.00,0.00,,0,34
0001,1,1,,P00035,"Hex Bolt, 16X75",pcs,1.00,pcs,0.00,0.00,,0,35
0001,1,1,,P00036,"Inverter, S/N GD200A-018G/022P-4",pcs,1.00,pcs,0.00,0.00,,0,36
0001,1,1,,P00037,"Light Curtain, Sensor, 30Lc0475-NE18S",pcs,1.00,pcs,0.00,0.00,,0,37
0001,1,1,,P00038,"Light Curtain, Sensor, 30Lc0475-NR18S",pcs,1.00,pcs,0.00,0.00,,0,38
0001,1,1,,P00039,"Limit Switch, Roller Lever, Omron D4V-8104Z",pcs,1.00,pcs,0.00,0.00,,0,39
0001,1,1,,P00040,"Magic Eye, Photo Electric Switch E3JK-Ds30M1",pcs,1.00,pcs,0.00,0.00,,0,40
0001,1,1,,P00041,"Miniature Circuit Breaker, 25Amp, 2 Poles Plug-In Type",pcs,1.00,pcs,0.00,0.00,,0,41
0001,1,1,,P00042,"Mininiature Circuit Breaker, 32Amp, 3 Poles DIN Rail",pcs,1.00,pcs,0.00,0.00,,0,42
0001,1,1,,P00043,Monoseal 20X15X3,pcs,1.00,pcs,0.00,0.00,,0,43
0001,1,1,,P00044,Monoseal 24/26X14X10.5 NBR+P A6 FAB Eu/K51,pcs,1.00,pcs,0.00,0.00,,0,44
0001,1,1,,P00045,Monoseal 35X25X5 PU Hallite IDI/ISI,pcs,1.00,pcs,0.00,0.00,,0,45
0001,1,1,,P00046,Monoseal 80X70X6,pcs,1.00,pcs,0.00,0.00,,0,46
